Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
1/6/21,1/4/20,1/2/21,AK,Anchorage Borough,2020,Medium metro,112,"2,143"
1/6/21,1/4/20,1/2/21,AK,Fairbanks North Star Borough,2090,Small metro,22,509
1/6/21,1/4/20,1/2/21,AK,Kenai Peninsula Borough,2122,Noncore,10,358
1/6/21,1/4/20,1/2/21,AK,Matanuska-Susitna Borough,2170,Medium metro,12,591
1/6/21,1/4/20,1/2/21,AL,Autauga County,1001,Medium metro,41,488
1/6/21,1/4/20,1/2/21,AL,Baldwin County,1003,Small metro,113,"2,208"
1/6/21,1/4/20,1/2/21,AL,Barbour County,1005,Noncore,17,273
1/6/21,1/4/20,1/2/21,AL,Bibb County,1007,Large fringe metro,20,187
1/6/21,1/4/20,1/2/21,AL,Blount County,1009,Large fringe metro,22,489
1/6/21,1/4/20,1/2/21,AL,Butler County,1013,Noncore,27,236
1/6/21,1/4/20,1/2/21,AL,Calhoun County,1015,Small metro,149,"1,578"
1/6/21,1/4/20,1/2/21,AL,Chambers County,1017,Micropolitan,11,362
1/6/21,1/4/20,1/2/21,AL,Cherokee County,1019,Noncore,11,289
1/6/21,1/4/20,1/2/21,AL,Chilton County,1021,Large fringe metro,20,397
1/6/21,1/4/20,1/2/21,AL,Choctaw County,1023,Noncore,12,116
1/6/21,1/4/20,1/2/21,AL,Clay County,1027,Noncore,31,192
1/6/21,1/4/20,1/2/21,AL,Coffee County,1031,Micropolitan,26,531
1/6/21,1/4/20,1/2/21,AL,Colbert County,1033,Small metro,81,672
1/6/21,1/4/20,1/2/21,AL,Covington County,1039,Noncore,65,561
1/6/21,1/4/20,1/2/21,AL,Crenshaw County,1041,Noncore,27,194
1/6/21,1/4/20,1/2/21,AL,Cullman County,1043,Micropolitan,95,"1,113"
1/6/21,1/4/20,1/2/21,AL,Dale County,1045,Micropolitan,55,465
1/6/21,1/4/20,1/2/21,AL,Dallas County,1047,Micropolitan,64,488
1/6/21,1/4/20,1/2/21,AL,DeKalb County,1049,Noncore,52,735
1/6/21,1/4/20,1/2/21,AL,Elmore County,1051,Medium metro,38,672
1/6/21,1/4/20,1/2/21,AL,Escambia County,1053,Noncore,24,386
1/6/21,1/4/20,1/2/21,AL,Etowah County,1055,Small metro,195,"1,668"
1/6/21,1/4/20,1/2/21,AL,Franklin County,1059,Noncore,16,318
1/6/21,1/4/20,1/2/21,AL,Geneva County,1061,Small metro,21,325
1/6/21,1/4/20,1/2/21,AL,Houston County,1069,Small metro,334,"2,050"
1/6/21,1/4/20,1/2/21,AL,Jackson County,1071,Micropolitan,32,649
1/6/21,1/4/20,1/2/21,AL,Jefferson County,1073,Large central metro,970,"10,277"
1/6/21,1/4/20,1/2/21,AL,Lauderdale County,1077,Small metro,138,"1,525"
1/6/21,1/4/20,1/2/21,AL,Lee County,1081,Small metro,177,"1,292"
1/6/21,1/4/20,1/2/21,AL,Limestone County,1083,Medium metro,57,846
1/6/21,1/4/20,1/2/21,AL,Madison County,1089,Medium metro,270,"4,322"
1/6/21,1/4/20,1/2/21,AL,Marengo County,1091,Noncore,18,246
1/6/21,1/4/20,1/2/21,AL,Marion County,1093,Noncore,37,398
1/6/21,1/4/20,1/2/21,AL,Marshall County,1095,Micropolitan,109,"1,253"
1/6/21,1/4/20,1/2/21,AL,Mobile County,1097,Medium metro,550,"5,519"
1/6/21,1/4/20,1/2/21,AL,Montgomery County,1101,Medium metro,460,"3,292"
1/6/21,1/4/20,1/2/21,AL,Morgan County,1103,Small metro,122,"1,437"
1/6/21,1/4/20,1/2/21,AL,Pike County,1109,Micropolitan,25,303
1/6/21,1/4/20,1/2/21,AL,Randolph County,1111,Noncore,13,221
1/6/21,1/4/20,1/2/21,AL,Russell County,1113,Medium metro,16,387
1/6/21,1/4/20,1/2/21,AL,St. Clair County,1115,Large fringe metro,54,807
1/6/21,1/4/20,1/2/21,AL,Shelby County,1117,Large fringe metro,112,"1,469"
1/6/21,1/4/20,1/2/21,AL,Talladega County,1121,Micropolitan,65,917
1/6/21,1/4/20,1/2/21,AL,Tallapoosa County,1123,Noncore,80,559
1/6/21,1/4/20,1/2/21,AL,Tuscaloosa County,1125,Small metro,322,"2,449"
1/6/21,1/4/20,1/2/21,AL,Walker County,1127,Large fringe metro,98,"1,016"
1/6/21,1/4/20,1/2/21,AL,Washington County,1129,Noncore,10,126
1/6/21,1/4/20,1/2/21,AL,Winston County,1133,Noncore,14,286
1/6/21,1/4/20,1/2/21,AR,Baxter County,5005,Micropolitan,82,954
1/6/21,1/4/20,1/2/21,AR,Benton County,5007,Medium metro,260,"2,064"
1/6/21,1/4/20,1/2/21,AR,Boone County,5009,Micropolitan,54,465
1/6/21,1/4/20,1/2/21,AR,Carroll County,5015,Noncore,13,226
1/6/21,1/4/20,1/2/21,AR,Chicot County,5017,Noncore,14,106
1/6/21,1/4/20,1/2/21,AR,Clark County,5019,Micropolitan,13,231
1/6/21,1/4/20,1/2/21,AR,Clay County,5021,Noncore,21,187
1/6/21,1/4/20,1/2/21,AR,Cleburne County,5023,Noncore,11,288
1/6/21,1/4/20,1/2/21,AR,Columbia County,5027,Micropolitan,35,278
1/6/21,1/4/20,1/2/21,AR,Craighead County,5031,Small metro,358,"2,327"
1/6/21,1/4/20,1/2/21,AR,Crawford County,5033,Medium metro,14,459
1/6/21,1/4/20,1/2/21,AR,Crittenden County,5035,Large fringe metro,26,364
1/6/21,1/4/20,1/2/21,AR,Cross County,5037,Noncore,10,177
1/6/21,1/4/20,1/2/21,AR,Dallas County,5039,Noncore,11,92
1/6/21,1/4/20,1/2/21,AR,Faulkner County,5045,Medium metro,98,"1,133"
1/6/21,1/4/20,1/2/21,AR,Franklin County,5047,Noncore,17,186
1/6/21,1/4/20,1/2/21,AR,Fulton County,5049,Noncore,24,168
1/6/21,1/4/20,1/2/21,AR,Garland County,5051,Small metro,203,"1,917"
1/6/21,1/4/20,1/2/21,AR,Greene County,5055,Micropolitan,26,393
1/6/21,1/4/20,1/2/21,AR,Hempstead County,5057,Noncore,11,178
1/6/21,1/4/20,1/2/21,AR,Hot Spring County,5059,Micropolitan,13,301
1/6/21,1/4/20,1/2/21,AR,Howard County,5061,Noncore,12,146
1/6/21,1/4/20,1/2/21,AR,Independence County,5063,Micropolitan,98,601
1/6/21,1/4/20,1/2/21,AR,Jefferson County,5069,Small metro,118,969
1/6/21,1/4/20,1/2/21,AR,Lawrence County,5075,Noncore,19,162
1/6/21,1/4/20,1/2/21,AR,Little River County,5081,Small metro,26,156
1/6/21,1/4/20,1/2/21,AR,Lonoke County,5085,Medium metro,30,470
1/6/21,1/4/20,1/2/21,AR,Marion County,5089,Noncore,19,204
1/6/21,1/4/20,1/2/21,AR,Mississippi County,5093,Micropolitan,27,392
1/6/21,1/4/20,1/2/21,AR,Nevada County,5099,Noncore,10,71
1/6/21,1/4/20,1/2/21,AR,Newton County,5101,Micropolitan,13,95
1/6/21,1/4/20,1/2/21,AR,Ouachita County,5103,Micropolitan,21,293
1/6/21,1/4/20,1/2/21,AR,Poinsett County,5111,Small metro,12,171
1/6/21,1/4/20,1/2/21,AR,Polk County,5113,Noncore,42,231
1/6/21,1/4/20,1/2/21,AR,Pope County,5115,Micropolitan,35,696
1/6/21,1/4/20,1/2/21,AR,Pulaski County,5119,Medium metro,592,"6,759"
1/6/21,1/4/20,1/2/21,AR,Randolph County,5121,Noncore,18,160
1/6/21,1/4/20,1/2/21,AR,Saline County,5125,Medium metro,73,994
1/6/21,1/4/20,1/2/21,AR,Sebastian County,5131,Medium metro,240,"2,391"
1/6/21,1/4/20,1/2/21,AR,Sharp County,5135,Noncore,11,199
1/6/21,1/4/20,1/2/21,AR,Stone County,5137,Noncore,15,162
